"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"ENTREZID"
2.37086610606706e-06	-0.44306842102406	0.562	0.897	0.0550586235811954	"1"	"PCGF5"	"84333"
2.42256301633618e-06	-0.627812885023471	0.932	0.991	0.0562591809283751	"1"	"ATP6AP2"	"10159"
2.99255814908228e-06	-0.255886120496691	0.137	0.479	0.0694961778961378	"1"	"TMEM132B"	"114795"
3.02262044763154e-06	-0.528604125221401	0.274	0.573	0.0701943146553473	"1"	"KLHL12"	"59349"
3.11594152108094e-06	-0.561203958390494	0.247	0.545	0.0723615099440627	"1"	"C18orf42"	NA
4.31598167630417e-06	-0.607208748510904	0.671	0.901	0.100230042468812	"1"	"GRB2"	"2885"
4.72229362577252e-06	0.573575167640911	1	1	0.109665824871315	"1"	"MALAT1"	"378938"
5.15317247569218e-06	-0.665709681783595	0.521	0.798	0.119672124403	"1"	"IARS"	NA
5.43475570473142e-06	-0.29012456411193	0.945	0.991	0.126211331730978	"1"	"EIF4E"	"1977"
6.08098443092496e-06	-0.287394826167774	0.247	0.582	0.14121870143937	"1"	"TMEM38B"	"55151"
6.67439537760802e-06	-0.742854582641072	0.616	0.812	0.154999483854191	"1"	"PPID"	"5481"
9.43837785515485e-06	-0.323341489798426	0.603	0.845	0.219187448930261	"1"	"TSPAN2"	"10100"
1.00964914905673e-05	-0.278940598136798	0.712	0.915	0.234470821885445	"1"	"KIAA1715"	NA
1.01205338723962e-05	-0.717908392320903	0.726	0.85	0.235029158118658	"1"	"ETFDH"	"2110"
1.10069853239479e-05	-0.611997213999285	0.973	0.995	0.255615220178042	"1"	"KIAA1324"	NA
1.16294246187671e-05	-0.473021947151432	0.329	0.615	0.270070127921628	"1"	"ME2"	"4200"
1.26412682630792e-05	-0.398586570210246	0.26	0.592	0.293568172873487	"1"	"CNDP2"	"55748"
1.46569689357373e-05	-0.548044072324512	0.521	0.779	0.340378789594627	"1"	"LGMN"	"5641"
1.55357738629744e-05	-0.427286257913235	0.479	0.761	0.360787276419855	"1"	"FDPS"	"2224"
1.55751604597049e-05	-0.510731245450708	0.384	0.653	0.361701951355726	"1"	"ABCD3"	"5825"
1.76118548171953e-05	-0.52994297589977	0.37	0.648	0.409000104419726	"1"	"DKC1"	"1736"
1.77500477538927e-05	-0.513509488306167	0.959	0.981	0.41220935898865	"1"	"PTPLAD1"	NA
1.95373482480382e-05	-0.577068275895827	0.986	1	0.453715838364191	"1"	"ENO1"	"2023"
1.9783965793927e-05	-0.341128894684407	0.342	0.643	0.459443037632367	"1"	"FAM92A1"	NA
2.16334358161542e-05	-0.381873333440017	0.151	0.423	0.502393279958548	"1"	"UNC5D"	"137970"
2.22169852808647e-05	-0.291310621768409	0.63	0.845	0.51594504917752	"1"	"HERC2P2"	"400322"
2.27922460313475e-05	-0.398769613906198	0.274	0.573	0.529304329585983	"1"	"CHL1"	"10752"
2.3087390421121e-05	-0.385239606979263	0.712	0.892	0.536158467749692	"1"	"VEZT"	"55591"
2.48959358431585e-05	-0.494473180645352	0.616	0.822	0.57815831808567	"1"	"ACACA"	"31"
2.50154153595357e-05	-0.256001339109653	0.247	0.521	0.580932990894497	"1"	"TPMT"	"7172"
