,logFC,logCPM,F,PValue,FDR,Nhood,SpatialFDR
42,1.04049051624569,15.8529710544444,0.322205125387995,0.570383764060775,0.972333831347974,42,0.969036093842308
43,0.462539180417302,14.9598139930653,0.105812512911116,0.745015349809118,0.972333831347974,43,0.969036093842308
44,-0.277289441067803,15.0401883628782,0.035080176103792,0.851457071301837,0.972333831347974,44,0.969036093842308
45,0.688291419765839,15.2900827870773,0.207546056757186,0.648773932655855,0.972333831347974,45,0.969036093842308
46,0.819590150964812,14.9838369534609,0.17356841761431,0.677028709480809,0.972333831347974,46,0.969036093842308
47,0.497746176191501,15.1176947374988,0.125282280496732,0.72343215287691,0.972333831347974,47,0.969036093842308
48,0.927879885563756,15.0220802240087,0.401867876665812,0.526238047404151,0.972333831347974,48,0.969036093842308
49,0.590472958326426,14.8007580813081,0.178562101760997,0.672681967607278,0.972333831347974,49,0.969036093842308
50,0.419459012897019,14.8596154189293,0.0962603713459386,0.756414229297392,0.972333831347974,50,0.969036093842308
51,-2.36174017969371,15.1952455985693,2.34965836000227,0.125554526951189,0.972333831347974,51,0.969036093842308
52,0.298398338004635,14.8384016205942,0.0518459465390185,0.819917681609927,0.972333831347974,52,0.969036093842308
53,-0.592565497776353,14.9403829806815,0.163636399738,0.981480676541677,0.989006162646404,53,0.989006162646404
54,-0.951330682028065,14.9469246645961,0.407392831138363,0.523408541019424,0.972333831347974,54,0.969036093842308
55,0.831638017923989,15.6883196290735,0.221978586193096,0.637615747078652,0.972333831347974,55,0.969036093842308
56,0.781381030186927,14.6174368457459,0.41530549130321,0.519402899267187,0.972333831347974,56,0.969036093842308
57,0.518481964585847,14.9941833044447,0.130377412492236,0.718099894681878,0.972333831347974,57,0.969036093842308
58,-0.5655301105691,15.1133591539886,0.150953864114368,0.731279835628994,0.972333831347974,58,0.969036093842308
59,0.102977181088641,16.0404172317607,0.0030278796503113,0.956126094017914,0.989006162646404,59,0.989006162646404
60,0.789550747458087,15.012895361723,0.285296811108271,0.609878299584549,0.972333831347974,60,0.969036093842308
61,0.525028645272637,14.9400769445592,0.138100648587543,0.710237319462521,0.972333831347974,61,0.969036093842308
62,0.58504170865201,14.717258969229,0.196082611754882,0.657975502038039,0.972333831347974,62,0.969036093842308
63,-0.610096379704543,14.7839357461688,0.196559313362325,0.657586520094287,0.972333831347974,63,0.969036093842308
64,-1.99709684511606,14.8323619313854,1.96633119991505,0.161077297914958,0.972333831347974,64,0.969036093842308
65,-0.431059276538331,14.8759323975682,0.0929920034099161,0.824972072074238,0.972333831347974,65,0.969036093842308
66,-4.01575747722736,14.6690476948987,9.130713451068,0.0025628232950404,0.0615411682566329,66,0.0523364131853666
67,-0.467146941754804,14.8468970071734,0.112716395447585,0.848634810631149,0.972333831347974,67,0.969036093842308
68,0.0129232296022975,14.8956480684247,0.000189938743800346,0.989006162646404,0.989006162646404,68,0.989006162646404
69,1.21216964142688,15.661104713401,0.471249439217637,0.492535727655536,0.972333831347974,69,0.969036093842308
70,-0.61561517375988,15.2017643612359,0.157365459046041,0.691659058822005,0.972333831347974,70,0.969036093842308
71,0.301523989999708,14.9453991871439,0.0458886944026553,0.830411954026969,0.972333831347974,71,0.969036093842308
72,-0.545547126217319,15.355788782449,0.109930751252787,0.740276594315143,0.972333831347974,72,0.969036093842308
