p_val,avg_logFC,pct.1,pct.2,p_val_adj,symbol
0.0806662239414941,0.271187302160519,0.844,0.839,1,ZNF518A
0.0845593576541887,0.267317219663218,0.746,0.76,1,ATP8A1
0.0854685747754626,0.262169552260621,0.443,0.37,1,ATG2B
0.0891275840704357,-0.309274086202862,0.525,0.589,1,AP3M1
0.0917052124792565,0.258293436746671,0.615,0.62,1,YTHDC2
0.0922309481087059,0.301695787580231,0.262,0.354,1,LGR4
0.0949312065157557,0.354911238898208,0.68,0.677,1,RNF169
0.0952143526776097,-0.267985732211229,0.402,0.505,1,GTF2H1
0.0968263212055842,0.307996582162435,0.68,0.635,1,PRPF18
0.101625350664737,0.366171163394486,0.59,0.604,1,SIKE1
0.101908004595289,0.251409140532638,0.934,0.953,1,ARHGAP5
0.105576648337186,0.258982796312007,0.975,0.943,1,ERLEC1
0.109803333492068,0.292155875870064,0.762,0.698,1,GCLM
0.111002602220233,0.28324446148712,0.311,0.234,1,MTHFD2
0.112835312343265,0.31005681420245,0.426,0.37,1,ZNF25
0.112973581816938,0.276476025909107,0.467,0.396,1,EXOSC1
0.115238165768765,-0.454202224826471,0.557,0.609,1,PABPC4
0.123813220400064,0.319288499181322,0.508,0.458,1,ZNF302
0.126629464937,0.26102584178609,0.508,0.453,1,ARIH1
0.127553605154345,0.294567683506238,0.836,0.812,1,TUG1
0.128824874120808,0.329247950063418,0.557,0.505,1,FOXP2
0.13583270178629,0.258180966898813,0.689,0.677,1,TRIM37
0.136053678174391,-0.304700907289792,0.23,0.297,1,EIF2AK3
0.143295459115519,0.267692949550689,0.189,0.141,1,SOX9
0.150989209223215,0.262254146002511,0.459,0.396,1,EXD2
0.153026426245182,0.2789002946402,0.779,0.802,1,SMAD5
0.157848951159162,0.281880714544282,0.779,0.76,1,WDFY3
0.159551043385166,-0.252773423994124,0.762,0.823,1,ACOX1
0.160674847376029,0.345574585912728,0.852,0.823,1,CXXC4
0.171258903057603,0.293939991490149,0.91,0.917,1,AP2B1
0.171767200830837,-0.315834630432287,0.393,0.443,1,OXCT1
0.172349650771709,-0.253918182824398,0.607,0.651,1,CFL2
0.174783558584779,-0.359591800364171,0.385,0.411,1,ERLIN1
0.177970228179509,0.331458494589499,0.484,0.417,1,GDAP2
