name,gene,gene_name,variable,PSI,FDR
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c3_PSI,0.172453044963005,3.89536098578066e-08
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c3_PSI,0.101589495507947,0.975386329743681
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c3_PSI,0.164444444444444,0.000103553992576384
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c3_PSI,0.131443298969072,0.00337780192176713
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c3_PSI,0.327647476901208,2.59620362271753e-14
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c3_PSI,0.345679012345679,0.799484883450082
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c3_PSI,0.293946024799417,0.537822377811485
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c3_PSI,0.0730837789661319,6.7677685752361e-10
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c4_PSI,0.0531914893617021,4.40761420159936e-07
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c4_PSI,0.303703703703704,0.0512912810217057
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c4_PSI,0.277566539923954,5.33789038112141e-06
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c4_PSI,1,0.0240124470419727
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c4_PSI,0.177570093457944,0.584176225282736
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c4_PSI,0.388505747126437,0.90317461367009
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c4_PSI,0.577639751552795,2.93387366815931e-42
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c4_PSI,0.522012578616352,3.06426141594963e-24
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c4_PSI,0.310344827586207,0.01406340860549
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c4_PSI,0.0909090909090909,9.64319901250427e-07
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c4_PSI,0.261363636363636,0.0767835294224941
