p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
9.5171677031215e-27,0.497048171296513,0.997,0.961,2.21017185569591e-22,Beta,TMBIM4
1.46933565809342e-26,0.502074048364275,0.758,0.452,3.41223819879035e-22,Beta,MTUS2
1.70624921999386e-26,0.550864427631391,0.857,0.576,3.96242256359174e-22,Beta,PLEKHA6
1.88090915562202e-26,0.590489984600253,0.892,0.69,4.36803533210101e-22,Beta,NR3C1
3.10041024423965e-26,0.703848404526846,0.911,0.7,7.20008271019774e-22,Beta,PLCB4
6.16048773600833e-26,0.499638327077314,0.978,0.861,1.43065006693321e-21,Beta,MEIS2
9.72448021980886e-26,0.511621747613894,0.975,0.931,2.25831604144621e-21,Beta,ANP32E
1.03003241668699e-25,0.644495398081242,0.946,0.837,2.3920442812722e-21,Beta,PHACTR2
1.36164309355491e-25,0.572004876790259,0.965,0.931,3.16214375616256e-21,Beta,TMEM33
1.46011866708269e-25,0.651629280446844,0.987,0.968,3.39083358056613e-21,Beta,SCD
3.34438417556938e-25,0.594246979318458,0.863,0.615,7.76666337092477e-21,Beta,ELAVL4
3.40699530831136e-25,0.514357688715176,0.93,0.758,7.91206520449146e-21,Beta,APOL2
4.15399262387589e-25,0.591529137681061,0.968,0.923,9.64681707042699e-21,Beta,SURF4
5.43007205800416e-25,0.508895850930312,0.618,0.278,1.26102563403031e-20,Beta,RASSF6
1.14287181359944e-24,0.639738398767731,0.933,0.824,2.65409121272198e-20,Beta,KIAA0247
1.17088482280357e-24,0.704883789642046,0.844,0.623,2.71914582399672e-20,Beta,DNAJB9
2.2105345019578e-24,0.605739673074912,0.971,0.921,5.13352427389659e-20,Beta,BNIP3L
3.75734537656645e-24,0.629113320832024,0.783,0.51,8.72568316800027e-20,Beta,SOX4
4.59405507271699e-24,0.889931040138936,0.596,0.276,1.06687740953707e-19,Beta,EXPH5
4.72880326554276e-24,0.713981944447832,0.879,0.677,1.09816998235699e-19,Beta,LINC00263
5.90482346169704e-24,0.564792194068776,0.994,0.979,1.3712771525099e-19,Beta,DSP
6.8354187454367e-24,0.619917083638079,0.841,0.651,1.58738929525276e-19,Beta,RELL1
7.19692601853448e-24,0.560319731516562,0.984,0.944,1.67134212928426e-19,Beta,PAFAH1B2
1.16258708341119e-23,0.600682518076934,0.895,0.713,2.6998759838058e-19,Beta,MGAT4A
1.17445558184965e-23,0.581060548204755,0.959,0.848,2.72743819772944e-19,Beta,FAM76A
